lop	tiet	GV1001	GV1002	GV1003	GV1004	GV1005	GV1006	GV1007	GV1008	GV1009	GV1010	GV1011	GV1012	GV1013	GV1015	GV1016	GV1017	GV1018	GV1019	GV1020	GV1021	GV1022	GV1023	GV1024	GV1025	GV1026	GV1027	GV1028	GV1029	GV1030	GV1031	GV1032	GV1033	GV1034	GV1035	GV1036	GV1037	GV1038	GV1039	GV1040	GV1041	GV1042	GV1043	GV1044	GV1045	GV1046	GV1047	GV1048	GV1049	GV1051	GV1052	GV1053	GV1056	GV1057	GV1058	GV1059	GV1060	GV1061	GV1062	GV1063	GV1064	GV1065	GV1066	GV1067	GV1068	GV1069	GV1070	GV1071	GV1073	GV1074	GV1075	GVNN01	GVNN02	GVNN03
2	1	 - 	SHL - 10G	 - 	SHL - 12M	SHL - 12D	SHL - 11T	 - 	SHL - 10M	SHL - 11M	 - 	 - 	SHL - 12G	SHL - 10D	SHL - 11E	SHL - 11K	SHL - 11H	 - 	SHL - 12C	SHL - 10H	SHL - 10K	SHL - 12E	 - 	SHL - 10A	 - 	 - 	 - 	SHL - 12H	SHL - 12K	SHL - 11B	SHL - 11N	 - 	SHL - 12A	SHL - 10B	SHL - 11P	 - 	 - 	SHL - 11C	 - 	SHL - 11A	 - 	 - 	SHL - 10E	 - 	 - 	 - 	SHL - 11G	SHL - 12B	SHL - 10C	 - 	SHL - 12N	SHL - 11Q	 - 	 - 	SHL - 10N	 - 	 - 	SHL - 11D	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	
2	2	 - 	 - 	Toan - 10C	Toan - 12A	 - 	Toan - 11N	 - 	Toan - 10B	 - 	 - 	 - 	Van - 12D	 - 	 - 	 - 	 - 	 - 	Van - 12C	 - 	 - 	 - 	Anh - 10D	Anh - 11M	Anh - 11T	 - 	 - 	 - 	Anh - 12K	Anh - 11K	Anh - 11H	 - 	CN - 12G	Ly - 11A	Ly - 11P	 - 	 - 	Ly - 12M	 - 	Hoa - 11C	 - 	Hoa - 11B	Hoa - 12H	Hoa - 11E	 - 	CN - 10E	Sinh - 11G	Sinh - 11Q	 - 	 - 	Su - 12E	Su - 10N	 - 	Dia - 12N	Dia - 10M	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	QP - 10H	Tin - 12B	Tin - 10A	 - 	 - 	CN - 11D	 - 	 - 	 - 	AVNN - 10K	AVNN - 10G	
2	3	Toan - 12N	Toan - 10G	Toan - 10C	Toan - 12A	Toan - 12H	 - 	Toan - 12E	Toan - 10B	 - 	Toan - 10H	Van - 12M	Van - 10E	Van - 11Q	Van - 11E	Van - 11T	Van - 11H	Van - 11P	Van - 10N	Van - 11M	Van - 10K	 - 	Anh - 10D	 - 	Anh - 12G	 - 	 - 	Anh - 11A	Anh - 12K	Anh - 11B	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Ly - 12B	 - 	 - 	 - 	 - 	 - 	Hoa - 10M	 - 	CN - 10A	 - 	 - 	Sinh - 11N	 - 	Su - 11G	 - 	Dia - 12D	Dia - 12C	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	CN - 11C	 - 	 - 	 - 	AVNN - 11D	AVNN - 11K	
2	4	Toan - 12N	Toan - 10G	 - 	 - 	Toan - 12H	Toan - 11G	Toan - 12E	 - 	Toan - 10D	Toan - 10H	Van - 12M	Van - 10E	Van - 11Q	Van - 11E	Van - 11T	Van - 11H	Van - 11P	Van - 10N	Van - 11M	Van - 10K	 - 	Anh - 12A	 - 	Anh - 12G	 - 	 - 	Anh - 11A	 - 	Anh - 11B	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Hoa - 12K	Hoa - 10C	Hoa - 10M	 - 	Sinh - 10A	Sinh - 11D	 - 	Sinh - 11N	 - 	 - 	 - 	Dia - 12B	Dia - 12C	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Tin - 12D	Tin - 10B	 - 	 - 	CN - 11K	 - 	 - 	AVNN - 11C	 - 	 - 	
2	5	Toan - 10E	Toan - 11D	Toan - 12G	 - 	Toan - 11C	Toan - 11T	Toan - 11K	Toan - 10M	Toan - 11P	 - 	 - 	 - 	Van - 11A	 - 	Van - 10B	Van - 10C	Van - 12A	Van - 12K	 - 	Van - 11N	 - 	 - 	 - 	Anh - 11G	 - 	 - 	Anh - 12H	 - 	Anh - 10K	 - 	 - 	 - 	 - 	 - 	Ly - 10A	 - 	CN - 12M	 - 	 - 	 - 	Hoa - 12C	Hoa - 12B	Hoa - 10G	 - 	CN - 10N	 - 	 - 	Sinh - 11E	 - 	Su - 12N	 - 	Dia - 11Q	Dia - 12E	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Tin - 12D	 - 	 - 	 - 	CN - 11M	 - 	Tin - 10H	AVNN - 10D	AVNN - 11H	AVNN - 11B	
3	1	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Van - 10M	Van - 12G	Van - 10D	Van - 11B	Van - 11K	 - 	 - 	Van - 12H	 - 	Van - 11G	Anh - 10C	 - 	 - 	Anh - 12C	Anh - 11C	 - 	 - 	 - 	Anh - 10K	Anh - 10B	CN - 12K	Ly - 12A	 - 	 - 	 - 	CN - 12N	 - 	Hoa - 12D	Hoa - 11A	 - 	Hoa - 11Q	Hoa - 12B	Hoa - 11P	Sinh - 11H	CN - 10G	Sinh - 12M	Sinh - 11M	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	TD - 10E	TD - 11T	TD - 10N	TD - 11E	 - 	 - 	 - 	Tin - 10A	Tin - 11N	Tin - 12E	CN - 11D	 - 	 - 	AVNN - 10H	 - 	 - 	
3	2	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Van - 10M	Van - 12G	 - 	Van - 11B	Van - 11K	 - 	 - 	Van - 12H	 - 	Van - 11G	Anh - 10C	Anh - 12N	Anh - 11M	Anh - 12C	Anh - 11C	Anh - 11Q	 - 	Anh - 12B	Anh - 10K	Anh - 10B	Ly - 12K	Ly - 12A	Ly - 11N	CN - 12D	 - 	 - 	 - 	 - 	Hoa - 12M	 - 	 - 	 - 	Hoa - 10H	Sinh - 11P	CN - 10G	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	TD - 10E	TD - 11T	TD - 10N	TD - 11E	QP - 11A	 - 	 - 	Tin - 10D	Tin - 11D	Tin - 12E	CN - 11H	 - 	 - 	AVNN - 10A	 - 	 - 	
3	3	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Van - 10G	 - 	 - 	 - 	 - 	Van - 11C	Van - 12E	 - 	Van - 11D	Van - 11N	Anh - 12M	Anh - 12N	Anh - 11M	Anh - 12G	Anh - 10M	Anh - 11Q	Anh - 12H	Anh - 12B	 - 	 - 	Ly - 10E	CN - 12A	Ly - 10B	Ly - 11G	 - 	Ly - 11E	 - 	Hoa - 10A	 - 	 - 	 - 	 - 	 - 	Sinh - 12C	CN - 10H	Sinh - 12D	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	TD - 10C	TD - 11K	TD - 10K	TD - 11H	QP - 11T	 - 	 - 	Tin - 10D	 - 	Tin - 12K	CN - 11B	Tin - 11A	 - 	AVNN - 10N	 - 	AVNN - 11P	
3	4	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Van - 10G	Van - 12N	 - 	Van - 10A	Van - 10B	Van - 11C	Van - 12E	Van - 12K	Van - 11D	Van - 11N	Anh - 12M	Anh - 12A	Anh - 10H	 - 	Anh - 11P	 - 	Anh - 12H	Anh - 10E	 - 	 - 	 - 	Ly - 10D	 - 	Ly - 12D	 - 	Ly - 12C	 - 	Hoa - 10N	 - 	 - 	Hoa - 12G	 - 	 - 	 - 	CN - 10M	Sinh - 11B	Sinh - 12B	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	TD - 10C	TD - 11K	TD - 10K	TD - 11H	 - 	 - 	Tin - 11Q	 - 	Tin - 11E	 - 	CN - 11M	Tin - 11A	 - 	AVNN - 11G	AVNN - 11T	 - 	
3	5	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Van - 12M	Van - 12N	 - 	Van - 10A	Van - 10B	 - 	 - 	Van - 12K	 - 	Van - 10K	 - 	Anh - 12A	Anh - 10H	 - 	Anh - 11P	Anh - 10G	Anh - 12D	Anh - 10E	 - 	Anh - 11N	Ly - 12E	Ly - 10N	 - 	Ly - 12H	 - 	Ly - 12C	Ly - 12B	Hoa - 10D	 - 	Hoa - 11D	Hoa - 12G	 - 	 - 	Sinh - 11A	CN - 10M	Sinh - 11K	Sinh - 11C	Sinh - 10C	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	QP - 11M	 - 	Tin - 11Q	Tin - 11B	Tin - 11H	 - 	CN - 11G	 - 	 - 	 - 	AVNN - 11T	AVNN - 11E	
