lop	tiet	12A	12B	12C	12D	12E	12G	12H	12K	12M	12N	10A	10B	10C	10D	10E	10G	10H	10K	10M	10N	11A	11B	11C	11D	11E	11G	11H	11K	11M	11N	11P	11Q	11T
2	1	SHL - GV1033	SHL - GV1048	SHL - GV1019	SHL - GV1005	SHL - GV1022	SHL - GV1012	SHL - GV1028	SHL - GV1029	SHL - GV1004	SHL - GV1052	SHL - GV1024	SHL - GV1034	SHL - GV1049	SHL - GV1013	SHL - GV1043	SHL - GV1002	SHL - GV1020	SHL - GV1021	SHL - GV1008	SHL - GV1058	SHL - GV1040	SHL - GV1030	SHL - GV1038	SHL - GV1061	SHL - GV1015	SHL - GV1047	SHL - GV1017	SHL - GV1016	SHL - GV1009	SHL - GV1031	SHL - GV1035	SHL - GV1053	SHL - GV1006	
2	2	Toan - GV1004	Tin - GV1068	Van - GV1019	Van - GV1012	Su - GV1052	CN - GV1033	Hoa - GV1043	Anh - GV1029	Ly - GV1038	Dia - GV1057	Tin - GV1069	Toan - GV1008	Toan - GV1003	Anh - GV1023	CN - GV1046	AVNN - GVNN03	QP - GV1067	AVNN - GVNN02	Dia - GV1058	Su - GV1053	Ly - GV1034	Hoa - GV1042	Hoa - GV1040	CN - GV1073	Hoa - GV1044	Sinh - GV1047	Anh - GV1031	Anh - GV1030	Anh - GV1024	Toan - GV1006	Ly - GV1035	Sinh - GV1048	Anh - GV1025	
2	3	Toan - GV1004	Ly - GV1038	Dia - GV1057	Dia - GV1056	Toan - GV1007	Anh - GV1025	Toan - GV1005	Anh - GV1029	Van - GV1011	Toan - GV1001	CN - GV1046	Toan - GV1008	Toan - GV1003	Anh - GV1023	Van - GV1012	Toan - GV1002	Toan - GV1010	Van - GV1021	Hoa - GV1044	Van - GV1019	Anh - GV1028	Anh - GV1030	CN - GV1073	AVNN - GVNN02	Van - GV1015	Su - GV1052	Van - GV1017	AVNN - GVNN03	Van - GV1020	Sinh - GV1049	Van - GV1018	Van - GV1013	Van - GV1016	
2	4	Anh - GV1023	Dia - GV1056	Dia - GV1057	Tin - GV1068	Toan - GV1007	Anh - GV1025	Toan - GV1005	Hoa - GV1042	Van - GV1011	Toan - GV1001	Sinh - GV1046	Tin - GV1069	Hoa - GV1043	Toan - GV1009	Van - GV1012	Toan - GV1002	Toan - GV1010	Van - GV1021	Hoa - GV1044	Van - GV1019	Anh - GV1028	Anh - GV1030	AVNN - GVNN01	Sinh - GV1047	Van - GV1015	Toan - GV1006	Van - GV1017	CN - GV1073	Van - GV1020	Sinh - GV1049	Van - GV1018	Van - GV1013	Van - GV1016	
2	5	Van - GV1018	Hoa - GV1043	Hoa - GV1042	Tin - GV1068	Dia - GV1057	Toan - GV1003	Anh - GV1028	Van - GV1019	CN - GV1038	Su - GV1052	Ly - GV1036	Van - GV1016	Van - GV1017	AVNN - GVNN01	Toan - GV1001	Hoa - GV1044	Tin - GV1075	Anh - GV1030	Toan - GV1008	CN - GV1046	Van - GV1013	AVNN - GVNN03	Toan - GV1005	Toan - GV1002	Sinh - GV1049	Anh - GV1025	AVNN - GVNN02	Toan - GV1007	CN - GV1073	Van - GV1021	Toan - GV1009	Dia - GV1056	Toan - GV1006	
3	1	Ly - GV1033	Hoa - GV1043	Anh - GV1025	Hoa - GV1039	Tin - GV1071	Van - GV1012	Van - GV1019	CN - GV1032	Sinh - GV1047	CN - GV1037	Tin - GV1069	Anh - GV1031	Anh - GV1022	Van - GV1013	TD - GV1062	CN - GV1046	AVNN - GVNN01	Anh - GV1030	Van - GV1011	TD - GV1064	Hoa - GV1040	Van - GV1015	Anh - GV1026	CN - GV1073	TD - GV1065	Van - GV1021	Sinh - GV1045	Van - GV1016	Sinh - GV1048	Tin - GV1070	Hoa - GV1044	Hoa - GV1042	TD - GV1063	
3	2	Ly - GV1033	Anh - GV1029	Anh - GV1025	CN - GV1035	Tin - GV1071	Van - GV1012	Van - GV1019	Ly - GV1032	Hoa - GV1040	Anh - GV1023	AVNN - GVNN01	Anh - GV1031	Anh - GV1022	Tin - GV1069	TD - GV1062	CN - GV1046	Hoa - GV1044	Anh - GV1030	Van - GV1011	TD - GV1064	QP - GV1066	Van - GV1015	Anh - GV1026	Tin - GV1070	TD - GV1065	Van - GV1021	CN - GV1073	Van - GV1016	Anh - GV1024	Ly - GV1034	Sinh - GV1045	Anh - GV1027	TD - GV1063	
3	3	CN - GV1033	Anh - GV1029	Sinh - GV1045	Sinh - GV1047	Van - GV1018	Anh - GV1025	Anh - GV1028	Tin - GV1071	Anh - GV1022	Anh - GV1023	Hoa - GV1039	Ly - GV1034	TD - GV1062	Tin - GV1069	Ly - GV1032	Van - GV1011	CN - GV1046	TD - GV1064	Anh - GV1026	AVNN - GVNN01	Tin - GV1074	CN - GV1073	Van - GV1017	Van - GV1020	Ly - GV1037	Ly - GV1035	TD - GV1065	TD - GV1063	Anh - GV1024	Van - GV1021	AVNN - GVNN03	Anh - GV1027	QP - GV1066	
3	4	Anh - GV1023	Sinh - GV1048	Ly - GV1037	Ly - GV1035	Van - GV1018	Hoa - GV1042	Anh - GV1028	Van - GV1019	Anh - GV1022	Van - GV1012	Van - GV1015	Van - GV1016	TD - GV1062	Ly - GV1033	Anh - GV1029	Van - GV1011	Anh - GV1024	TD - GV1064	CN - GV1046	Hoa - GV1039	Tin - GV1074	Sinh - GV1047	Van - GV1017	Van - GV1020	Tin - GV1070	AVNN - GVNN01	TD - GV1065	TD - GV1063	CN - GV1073	Van - GV1021	Anh - GV1026	Tin - GV1068	AVNN - GVNN02	
3	5	Anh - GV1023	Ly - GV1038	Ly - GV1037	Anh - GV1028	Ly - GV1032	Hoa - GV1042	Ly - GV1035	Van - GV1019	Van - GV1011	Van - GV1012	Van - GV1015	Van - GV1016	Sinh - GV1049	Hoa - GV1039	Anh - GV1029	Anh - GV1027	Anh - GV1024	Van - GV1021	CN - GV1046	Ly - GV1033	Sinh - GV1045	Tin - GV1069	Sinh - GV1048	Hoa - GV1041	AVNN - GVNN03	CN - GV1073	Tin - GV1070	Sinh - GV1047	QP - GV1066	Anh - GV1031	Anh - GV1026	Tin - GV1068	AVNN - GVNN02	
