gv	S1	S2	S3	S4	S5	S6	S7
GV1001	0	0	2	1	1	0	0	
GV1002	0	0	0	0	0	0	0	
GV1003	0	0	1	0	0	0	0	
GV1004	0	0	0	0	0	0	0	
GV1005	0	0	0	0	0	0	0	
GV1006	0	0	0	0	0	0	0	
GV1007	0	0	1	0	0	0	0	
GV1008	0	0	0	0	0	0	0	
GV1009	0	0	1	1	1	0	0	
GV1010	0	0	1	0	0	0	0	
GV1011	0	0	1	1	0	0	0	
GV1012	0	0	1	1	0	0	0	
GV1013	0	0	1	0	1	0	0	
GV1015	0	0	0	0	0	0	0	
GV1016	0	0	0	0	0	0	0	
GV1017	0	0	1	0	0	0	0	
GV1018	0	0	2	0	1	0	0	
GV1019	0	0	1	0	0	0	0	
GV1020	0	0	1	0	0	0	0	
GV1021	0	0	0	0	1	0	0	
GV1022	0	0	1	0	1	0	0	
GV1023	0	0	1	0	0	0	0	
GV1024	0	0	1	0	0	0	0	
GV1025	0	0	0	0	0	0	0	
GV1026	0	0	1	0	0	0	0	
GV1027	0	0	1	0	0	0	0	
GV1028	0	0	0	0	0	0	0	
GV1029	0	0	0	1	0	0	0	
GV1030	0	0	1	0	0	0	0	
GV1031	0	0	1	1	0	0	0	
GV1032	0	0	1	0	1	0	0	
GV1033	0	0	1	0	0	0	0	
GV1034	0	0	1	0	0	0	0	
GV1035	0	0	1	2	0	0	0	
GV1036	0	0	1	0	1	0	0	
GV1037	0	0	1	0	0	0	0	
GV1038	0	0	2	0	2	0	0	
GV1039	0	0	0	0	0	0	0	
GV1040	0	0	2	1	0	0	0	
GV1041	0	0	1	0	1	0	0	
GV1042	0	0	1	1	0	0	0	
GV1043	0	0	2	0	2	0	0	
GV1044	0	0	1	0	0	0	0	
GV1045	0	0	1	0	1	0	0	
GV1046	0	0	1	0	1	0	0	
GV1047	0	0	1	0	0	0	0	
GV1048	0	0	1	1	0	0	0	
GV1049	0	0	2	0	1	0	0	
GV1051	0	0	0	0	0	0	0	
GV1052	0	0	0	0	0	0	0	
GV1053	0	0	1	0	0	0	0	
GV1056	0	0	0	0	0	0	0	
GV1057	0	0	0	0	0	0	0	
GV1058	0	0	2	0	0	0	0	
GV1059	0	0	0	0	0	0	0	
GV1060	0	0	0	0	0	0	0	
GV1061	0	0	2	0	1	0	0	
GV1062	0	0	1	0	0	0	0	
GV1063	0	0	1	0	0	0	0	
GV1064	0	0	1	0	0	0	0	
GV1065	0	0	1	0	0	0	0	
GV1066	0	0	1	0	0	0	0	
GV1067	0	0	1	0	1	0	0	
GV1068	0	0	2	0	1	0	0	
GV1069	0	0	2	0	1	0	0	
GV1070	0	0	1	0	0	0	0	
GV1071	0	0	1	0	0	0	0	
GV1073	0	0	0	0	0	0	0	
GV1074	0	0	0	0	0	0	0	
GV1075	0	0	1	0	1	0	0	
GVNN01	0	0	1	0	0	0	0	
GVNN02	0	0	2	0	1	0	0	
GVNN03	0	0	2	1	0	0	0	
